GUI Tab,Function,Feature,Keyword,Dependency,Type,Min,Max,Description
Communications,M1553 Cross Communication Data ECU to ECU Pane 10,Flameout RT to RT,flameoutEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Flameout sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 10,IGN Fail RT to RT,ignFailEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,IGN Fail sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 10,Other Control Validity RT to RT,otherCtrlValidityEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Other Control Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 11,ATS Fail RT to RT,atsFailEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ATS Fail sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 11,Engine Cutoff RT to RT,engCutoffEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Engine Cutoff sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 11,Minimum Flow RT to RT,minFlowEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Minimum Flow sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 11,MN Fail RT to RT,machFailEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,MN Fail sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 11,Surge RT to RT,surgeEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Surge sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 12,EMS Buffers Full RT to RT,emsBuffersFullEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,EMS Buffers Full sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 12,Engine Event Recorded RT to RT,engEventEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Engine Event Recorded sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 12,Engine Idle RT to RT,engIdleEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Engine Idle sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 12,Over G RT to RT,overGEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Over G sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 12,PLA Fail RT to RT,plaFailEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PLA Fail sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 13,ACU In Control RT to RT,ecuBInCtrlEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ACU In Control sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 13,PCU Degraded RT to RT,ecuADegEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Degraded sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 13,PCU Fail RT to RT,ecuAFailEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Fail sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 13,PCU In Control RT to RT,ecuAInCtrlEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PCU In Control sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 13,PCU Operational RT to RT,ecuAOpEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Operational sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 14,ACU Degraded RT to RT,ecuBDegEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Degraded sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 14,ACU Fail RT to RT,ecuBFailEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Fail sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 14,ACU Operational RT to RT,ecuBOpEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Operational sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 14,PCU Ign ON RT to RT,ecuAIgnOnEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Ign ON sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 14,PCU Load Inhibit ON RT to RT,ecuALoadInhOnEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Load Inhibit ON sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 15,ACU ATS Permit ON RT to RT,ecuBATSPermitOnEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ACU ATS Permit ON sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 15,ACU Ign ON RT to RT,ecuBIgnOnEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Ign ON sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 15,ACU Load Inhibit ON RT to RT,ecuBLoadInhOnEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Load Inhibit ON sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 15,PCU ATS Permit ON RT to RT,ecuAATSPermitOnEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PCU ATS Permit ON sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 4,ECU Counter RT to RT,ecuCounterEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Counter sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 4,EGT Validity RT to RT,egtValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,EGT Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 4,N1 Validity RT to RT,n1ValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,N1 Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 4,N2 Validity RT to RT,n2ValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,N2 Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 4,PLA Validity RT to RT,plaValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PLA Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 5,EGT Limit Validity RT to RT,egtLimValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,EGT Limit Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 5,Fuel Flow Feedback Validity RT to RT,wffbValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Fuel Flow Feedback Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 5,P3 Validity RT to RT,p3ValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,P3 Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 5,PT2 Validity RT to RT,pt2ValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,PT2 Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 5,TT2 Validity RT to RT,tt2ValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,TT2 Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 6,CGVCMD Validity RT to RT,cgvcmdValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,CGVCMD Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 6,CGVFB Validity RT to RT,cgvfbValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,CGVFB Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 6,Engine Oil Pressure Validity RT to RT,pOilValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Engine Oil Pressure Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 6,FADEC OT Validity RT to RT,fadecOTValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,FADEC OT Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 6,WFCMD Validity RT to RT,wfcmdValEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,WFCMD Validity sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 7,Compressor Exit Static Pressure RT to RT,p3EcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Compressor Exit Static Pressure sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 7,Exhaust Gas Temperature RT to RT,egtEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Exhaust Gas Temperature sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 7,High Pressure Rotor Speed RT to RT,N2EcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,High Pressure Rotor Speed sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 7,Low Pressure Rotor Speed RT to RT,N1EcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Low Pressure Rotor Speed sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 7,Power Lever Angle RT to RT,plaEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Power Lever Angle sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 8,Chip Detector RT to RT,chipDetEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Chip Detector sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 8,Inlet Total Pressure RT to RT,pt2EcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Inlet Total Pressure sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 8,Inlet Total Temperature RT to RT,tt2EcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Inlet Total Temperature sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 8,Maintenance Indication RT to RT,maintIndEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Maintenance Indication sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 8,Overspeed Event RT to RT,osEventEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Overspeed Event sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 9,Impending Fuel Bypass RT to RT,impFuelBypEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Impending Fuel Bypass sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 9,Impending Lube Bypass RT to RT,impLubeBypEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Impending Lube Bypass sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 9,Low Lube Level Indication RT to RT,lubeLevelLowEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Low Lube Level Indication sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 9,Low Oil Pressure RT to RT,pOilLowEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Low Oil Pressure sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 9,Overtemp Event RT to RT,otEventEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Overtemp Event sent from ECU to ECU
Communications,M1553 Data BC to ECU Pane 1,Armament Fire Switch,armFireSwBcToEcuM1553,Mil1553,Selection,0,1000,Armament Fire Switch from BC to ECU
Communications,M1553 Data BC to ECU Pane 1,Bus Controller Counter,bcCounterBcToEcuM1553,Mil1553,Selection,0,1000,Bus Controller Counter sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 1,FCC BIT In Progress,fccBitBcToEcuM1553,Mil1553,Selection,0,1000,FCC BIT from BC to ECU
Communications,M1553 Data BC to ECU Pane 1,Landing Gear Handle Down,geardnBcToEcuM1553,Mil1553,Selection,0,1000,Gear Handle Down from BC to ECU
Communications,M1553 Data BC to ECU Pane 1,Weight on Wheels,wowBcToEcuM1553,Mil1553,Selection,0,1000,Weight On Wheels from BC to ECU
Communications,M1553 Data BC to ECU Pane 2,Calibrated Airspeed Validity,casValBitBcToEcuM1553,Mil1553,Selection,0,1000,Calibrated Airspeed Validity sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 2,Mach Number Validity,machValBcToEcuM1553,Mil1553,Selection,0,1000,Mach Number Validity sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 2,Total Air Temperature Validity,tatValBcToEcuM1553,Mil1553,Selection,0,1000,Total Air Temperature Validity sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 2,True Angle of Attack Validity,aoaValBcToEcuM1553,Mil1553,Selection,0,1000,True Angle of Attack Validity sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 3,Calibrated Air Speed from BC,casBcToEcuM1553,Mil1553,Selection,0,1000,Calibrated Air Speed sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 3,Pressure Altitude from BC,pAltBcToEcuM1553,Mil1553,Selection,0,1000,Pressure Altitude sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 3,Pressure Altitude Validity,pAltValBcToEcuM1553,Mil1553,Selection,0,1000,Pressure Altitude Validity sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 3,Selected Static Pressure Validity,psValBcToEcuM1553,Mil1553,Selection,0,1000,Selected Static Pressure Validity sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 3,UTC Time Validity,utcTimeValBcToEcuM1553,Mil1553,Selection,0,1000,UTC Time Validity sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 4,Acceleration in the Sideways Direction from BC,latAccelBcToEcuM1553,Mil1553,Selection,0,1000,Acceleration in the Sideways Direction sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 4,Acceleration in the Vertical Direction from BC,normAccelBcToEcuM1553,Mil1553,Selection,0,1000,Acceleration in the Vertical Direction sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 4,Aircraft Pitch Angle from BC,pitchBcToEcuM1553,Mil1553,Selection,0,1000,Aircraft Pitch Angle sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 4,Aircraft Roll Angle from BC,rollBcToEcuM1553,Mil1553,Selection,0,1000,Aircraft Roll Angle sent from BC to ECU
Communications,M1553 Data BC to ECU Pane 4,Day of Year from BC,dayOfYearBcToEcuM1553,Mil1553,Selection,0,1000,Day of Year sent from BC to ECU
Communications,M1553 Data ECU to BC Pane 10,EMS Buffers Full RT to BC,emsBuffersFullEcuToBcM1553,Mil1553,Selection,0,1000,EMS Buffers Full sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 10,Engine Event Recorded RT to BC,engEventEcuToBcM1553,Mil1553,Selection,0,1000,Engine Event Recorded sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 10,Over G RT to BC,overGEcuToBcM1553,Mil1553,Selection,0,1000,Over G sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 10,PCU Ign ON RT to BC,ecuAIgnOnEcuToBcM1553,Mil1553,Selection,0,1000,PCU Ign ON sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 10,PLA Fail RT to BC,plaFailEcuToBcM1553,Mil1553,Selection,0,1000,PLA Fail sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 11,ACU Ign ON RT to BC,ecuBIgnOnEcuToBcM1553,Mil1553,Selection,0,1000,ACU Ign ON sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 11,ECU Power Lever Angle RT to BC,ecuPlaEcuToBcM1553,Mil1553,Selection,0,1000,ECU Power Lever Angle  sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 11,EGT (T5) Redline Value RT to BC,egtLimitEcuToBcM1553,Mil1553,Selection,0,1000,EGT (T5) Redline Value sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 11,Engine Oil Pressure RT to BC,pOilEcuToBcM1553,Mil1553,Selection,0,1000,Engine Oil Pressure sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 11,Fuel Flow Feedback RT to BC,wffbEcuToBcM1553,Mil1553,Selection,0,1000,Fuel Flow Feedback sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 12,ECU Compensated T2 RT to BC,ecuT2EcuToBcM1553,Mil1553,Selection,0,1000,ECU Compensated T2 sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 12,ECU Inlet Static Pressure RT to BC,ecuPs2EcuToBcM1553,Mil1553,Selection,0,1000,ECU Inlet Static Pressure sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 12,ECU Inlet Total Pressure RT to BC,ecuP2EcuToBcM1553,Mil1553,Selection,0,1000,ECU Inlet Total Pressure sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 12,ECU LP Rotor Speed RT to BC,ecuN1EcuToBcM1553,Mil1553,Selection,0,1000,ECU LP Rotor Speed sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 12,ECU LP Rotor Speed RT to BC,ecuN1rEcuToBcM1553,Mil1553,Selection,0,1000,ECU LP Rotor Speed sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 13,ECU Combustor Static Pressure RT to BC,ecuP3EcuToBcM1553,Mil1553,Selection,0,1000,ECU Combustor Static Pressure sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 13,ECU HP Rotor Speed Referred to Compressor Inlet Temp (T22) RT to BC,ecuN2r22EcuToBcM1553,Mil1553,Selection,0,1000,ECU HP Rotor Speed Referred to Compressor Inlet Temp (T22) sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 13,ECU HP Rotor Speed RT to BC,ecuN2EcuToBcM1553,Mil1553,Selection,0,1000,ECU HP Rotor Speed sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 13,ECU LP Rotor Speed Set Point RT to BC,ecuN1rSetEcuToBcM1553,Mil1553,Selection,0,1000,ECU LP Rotor Speed Set Point sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 13,ECU Referred HP Rotor Speed RT to BC,ecuN2rEcuToBcM1553,Mil1553,Selection,0,1000,ECU Referred HP Rotor Speed sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 14,ECU CGV Command RT to BC,ecuCgvcmdEcuToBcM1553,Mil1553,Selection,0,1000,ECU CGV Command sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 14,ECU CGV Feedback RT to BC,ecuCgvfbEcuToBcM1553,Mil1553,Selection,0,1000,ECU CGV Feedback sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 14,ECU Exhaust Temperature RT to BC,ecuT5EcuToBcM1553,Mil1553,Selection,0,1000,ECU Exhaust Temperature sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 14,ECU Fuel Flow Command RT to BC,ecuWfcmdEcuToBcM1553,Mil1553,Selection,0,1000,ECU Fuel Flow Command sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 14,ECU Fuel Flow Feedback RT to BC,ecuWffbEcuToBcM1553,Mil1553,Selection,0,1000,ECU Fuel Flow Feedback sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 14,ECU Fuel Ratio Command RT to BC,ecuWfr3rEcuToBcM1553,Mil1553,Selection,0,1000,ECU Fuel Ratio Command sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 5,EGT Limit Validity RT to BC,egtLimValEcuToBcM1553,Mil1553,Selection,0,1000,EGT Limit Validity sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 5,EGT Validity RT to BC,egtValEcuToBcM1553,Mil1553,Selection,0,1000,EGT Validity sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 5,N1 Validity RT to BC,n1ValEcuToBcM1553,Mil1553,Selection,0,1000,N1 Validity sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 5,N2 Validity RT to BC,n2ValEcuToBcM1553,Mil1553,Selection,0,1000,N2 Validity sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 5,PLA Validity RT to BC,plaValEcuToBcM1553,Mil1553,Selection,0,1000,PLA Validity sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 6,Compressor Exit Static Pressure RT to BC,p3EcuToBcM1553,Mil1553,Selection,0,1000,Compressor Exit Static Pressure sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 6,Exhaust Gas Temperature RT to BC,egtEcuToBcM1553,Mil1553,Selection,0,1000,Exhaust Gas Temperature sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 6,High Pressure Rotor Speed RT to BC,N2EcuToBcM1553,Mil1553,Selection,0,1000,High Pressure Rotor Speed sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 6,Low Pressure Rotor Speed RT to BC,N1EcuToBcM1553,Mil1553,Selection,0,1000,Low Pressure Rotor Speed sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 6,Power Lever Angle RT to BC,plaEcuToBcM1553,Mil1553,Selection,0,1000,Power Lever Angle sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 7,Chip Detector RT to BC,chipDetEcuToBcM1553,Mil1553,Selection,0,1000,Chip Detector sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 7,Low Lube Level Indication RT to BC,lubeLevelLowEcuToBcM1553,Mil1553,Selection,0,1000,Low Lube Level Indication sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 7,Maintenance Indication RT to BC,maintIndEcuToBcM1553,Mil1553,Selection,0,1000,Maintenance Indication sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 7,Overspeed Event RT to BC,osEventEcuToBcM1553,Mil1553,Selection,0,1000,Overspeed Event sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 7,Overtemp Event RT to BC,otEventEcuToBcM1553,Mil1553,Selection,0,1000,Overtemp Event sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 8,Engine ON RT to BC,engOnEcuToBcM1553,Mil1553,Selection,0,1000,Engine ON sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 8,Flameout RT to BC,flameoutEcuToBcM1553,Mil1553,Selection,0,1000,Flameout sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 8,Impending Fuel Bypass RT to BC,impFuelBypEcuToBcM1553,Mil1553,Selection,0,1000,Impending Fuel Bypass sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 8,Impending Lube Bypass RT to BC,impLubeBypEcuToBcM1553,Mil1553,Selection,0,1000,Impending Lube Bypass sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 8,Low Oil Pressure RT to BC,pOilLowEcuToBcM1553,Mil1553,Selection,0,1000,Low Oil Pressure sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 9,Engine Idle RT to BC,engIdleEcuToBcM1553,Mil1553,Selection,0,1000,Engine Idle sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 9,FADEC O/T RT to BC,fadecOTEcuToBcM1553,Mil1553,Selection,0,1000,FADEC O/T sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 9,IGN Fail RT to BC,ignFailEcuToBcM1553,Mil1553,Selection,0,1000,IGN Fail sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 9,Minimum Flow RT to BC,minFlowEcuToBcM1553,Mil1553,Selection,0,1000,Minimum Flow sent from ECU to BC
Communications,M1553 Data ECU to BC Pane 9,Surge RT to BC,surgeEcuToBcM1553,Mil1553,Selection,0,1000,Surge sent from ECU to BC
Communications,M1553 Data Set,M1553 Data Set with Cross-Engine Communication,dataSetCrossCommM1553,Mil1553,Option,0,1,Data Set that includes cross-engine communication over MIL-STD-1553
Communications,M1553 Status Indications,Broadcast Command Received Bit,broadcastComM1553,Mil1553,Selection,0,6,Indicates whether or not the preceding valid command word was a broadcast command.
Communications,M1553 Status Indications,Busy Bit,busyBitM1553,Mil1553,Selection,0,6,Indicates that the remote terminal or subsystem is unable to move data to or from the subsystem in compliance with the bus controller's command.
Communications,M1553 Status Indications,Instrumentation Bit,instrumentationBitM1553,Mil1553,Selection,0,6,Status word bit reserved for the instrumentation bit (and must be a logic 0).
Communications,M1553 Status Indications,Service Request Bit,serviceReqM1553,Mil1553,Selection,0,6,Indicates the need for the bus controller to take specific predefined actions relative to either the remote terminal or associated subsystem.
Communications,M1553 Status Indications,Subsystem Flag Bit,subsystemFlagM1553,Mil1553,Selection,0,6,Indicates a subsystem fault condition and alerts the bus controller to potentially invalid data.
Communications,M1553 Status Indications,Terminal Flag Bit,terminalFlagM1553,Mil1553,Selection,0,6,Indicates a remote terminal fault condition.
Communications,MIL-STD-1553 Input Message,Input Message 1,m1553NumRxSubaddress1,Mil1553,Selection,0,10,Selection indicates that there is one MIL-STD-1553 input message.
Communications,MIL-STD-1553 Input Message,Input Message 2,m1553NumRxSubaddress2,m1553NumRxSubaddress1,Selection,0,10,Selection indicates that there are two MIL-STD-1553 input messages.
Communications,MIL-STD-1553 Output Message,Output Message 1,m1553NumTxSubaddress1,Mil1553,Selection,0,10,Selection indicates that there is one MIL-STD-1553 output message.
Communications,MIL-STD-1553 Output Message,Output Message 2,m1553NumTxSubaddress2,m1553NumTxSubaddress1,Selection,0,10,Selection indicates that there are two MIL-STD-1553 output messages.
Communications,MIL-STD-1553 Output Message,Output Message 3,m1553NumTxSubaddress3,m1553NumTxSubaddress2,Selection,0,10,Selection indicates that there are three MIL-STD-1553 output messages.
Communications,Mode Codes Pane 1,Dynamic Bus Control,dynamicBusCtrlM1553,Mil1553,Selection,0,11,Bus controller requests to transfer control of the data bus to target remote terminal.
Communications,Mode Codes Pane 1,Inhibit Terminal Flag Bit,inhibitTerminalM1553,Mil1553,Selection,0,11,Commands remote terminal to set Transmit/Receive bit to 0 until otherwise commanded.
Communications,Mode Codes Pane 1,Initiated Self Test,selfTestM1553,Mil1553,Selection,0,11,Commands remote terminal to initiate self test.
Communications,Mode Codes Pane 1,Override Inhibit Terminal Flag Bit,overrideInhibitTerminalM1553,Mil1553,Selection,0,11,Commands remote terminal to no longer set Transmit/Receive bit to 0 until otherwise commanded.
Communications,Mode Codes Pane 1,Synchronize,synchronizeM1553,Mil1553,Selection,0,11,"Commands remote terminal to synchronize (for example reset internal timer, start a sequence, etc.)."
Communications,Mode Codes Pane 2,Override Selected Transmitter Shutdown,overrideSelectShutdownM1553,Mil1553,Selection,0,11,Requires sending this command word followed by a data word; Commands remote terminal to enable its transmitter on the other (redundant) data bus identified in the data word.
Communications,Mode Codes Pane 2,Selected Transmitter Shutdown,selectShutdownM1553,Mil1553,Selection,0,11,Requires sending this command word followed by a data word; Commands remote terminal to disable its transmitter on the other (redundant) data bus identified in the data word.
Communications,Mode Codes Pane 2,Synchronize (with data word),synchronizeDatM1553,Mil1553,Selection,0,11,Requires sending this command word followed by a data word; commands remote terminal to synchronize using the synchronization information in the data word.
Communications,Mode Codes Pane 2,Transmit BIT Word,transmitBITM1553,Mil1553,Selection,0,11,Commands remote terminal to transmit its status word followed by a single data word containing the remote termainal BIT data.
Communications,Mode Codes Pane 2,Transmit Last Word,transmitLastM1553,Mil1553,Selection,0,11,"Commands remote terminal to transmit its status word followed by a single data word containing bits 4 through 19 of the last command word, excluding a transmit last command word mode code received by the remote terminal."
Communications,Mode Codes Pane 2,Transmit Vector Word,transmitVectorM1553,Mil1553,Selection,0,11,Commands remote terminal to transmit status word and data word containing service request information.
Communications,Software Upload Interlock Capability,Multiple SW Upload Accesses Allowed,gseSWInterlockMultiPW,airCooled,Selection,1,1, Multiple Software upload accesses are allowed / denied based on software upload interlock states
Communications,Software Upload Interlock Capability,Single SW Upload Access Allowed,gseSWInterlockSnglPW,fuelCooled,Selection,1,1, Single Software upload access is allowed / denied based on software upload interlock state
